0.0, 0.0, nan
0.125, 118.30984247477413, 111.00849593042908
0.25, 167.31538379005002, 148.16257684224965
0.375, 204.91865820177918, 172.10244030131096
0.5, 236.61968494954826, 189.27023783172118
0.625, 264.54885018088686, 202.27204942170204
0.75, 289.7987456122528, 212.46826527513875
0.875, 313.01842083947884, 220.66655910751072
1.0, 334.63076758010004, 227.3859372867551
1.125, 354.9295274243224, 232.97849742316671
1.25, 374.12857183601824, 237.69283104707773
1.375, 392.38935649487814, 241.70995569491137
1.5, 409.83731640355836, 245.16499247138518
1.625, 426.5722034348655, 248.16088975495643
1.75, 442.6748960238, 250.77745166588505
1.875, 458.2120495972231, 253.07746730768636
2.0, 473.2393698990965, 255.1109825719973
2.125, 487.8039770736804, 256.918344722158
2.25, 501.94615137015006, 258.5324146356495
2.375, 515.7006473737564, 259.9802016387514
2.5, 529.0977003617737, 261.28408981506243
2.625, 542.163808598954, 262.4627702080514
2.75, 554.922349685908, 263.5319579904231
2.875, 567.394072058684, 264.50495021652387
3.0, 579.5974912245056, 265.3930638980951
3.125, 591.5492123738707, 266.2059832069616
3.25, 603.2641954289618, 266.95203695308584
3.375, 614.7559746053375, 267.6384220501676
